Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
OIL,LONG,Materia Prima,2025-10-24 19:00:00,2025-10-30 17:00:00,61.49,60.66,162.6281,10000.0,-1.35%,-134.98,TIEMPO_MAX,96.76000213623047%
BTC-USD,LONG,Criptomoneda,2025-10-25 02:00:00,2025-10-26 03:00:00,111086.2578,111288.1172,0.09,10000.0,0.18%,18.17,TIEMPO_MAX,92.55000305175781%
GOLD,LONG,Materia Prima,2025-11-03 14:00:00,2025-11-07 12:00:00,4034.1001,4003.3,2.4789,10000.0,-0.76%,-76.35,TIEMPO_MAX,95.70999908447266%
GOLD,LONG,Materia Prima,2025-11-11 23:00:00,2025-11-17 20:00:00,4148.7002,4041.2,2.4104,10000.0,-2.59%,-259.12,TIEMPO_MAX,93.70999908447266%
SHY,LONG,Renta Fija (Bonds),2025-11-12 09:00:00,2025-11-19 16:00:00,81.3944,81.4042,737.15,60000.0,0.01%,7.24,ROTACION_TESORERIA,SMA200_FILTRO
ETH-USD,LONG,Criptomoneda,2025-12-04 09:00:00,2025-12-05 10:00:00,3201.4199,3139.6638,3.1236,10000.0,-1.93%,-192.9,TIEMPO_MAX,96.83000183105469%
OIL,LONG,Materia Prima,2025-12-23 20:00:00,2025-12-31 14:00:00,58.45,58.25,171.0864,10000.0,-0.34%,-34.22,TIEMPO_MAX,93.87000274658203%
GOLD,LONG,Materia Prima,2025-12-23 21:00:00,2025-12-31 05:00:00,4515.0,4300.7088,2.2148,10000.0,-4.75%,-474.62,TRAILING_STOP,97.13999938964844%
GOLD,LONG,Materia Prima,2026-01-07 01:00:00,2026-01-12 23:00:00,4476.5,4607.6001,2.2339,10000.0,2.93%,292.86,TIEMPO_MAX,93.45999908447266%
GOLD,LONG,Materia Prima,2026-01-13 18:00:00,2026-01-20 21:00:00,4602.2998,4769.1001,2.1728,10000.0,3.62%,362.43,TIEMPO_MAX,95.5999984741211%
GOLD,LONG,Materia Prima,2026-01-22 00:00:00,2026-01-27 21:00:00,4798.7998,5179.6001,2.0839,10000.0,7.94%,793.53,TIEMPO_MAX,95.18000030517578%
GOLD,LONG,Materia Prima,2026-02-04 13:00:00,2026-02-05 23:00:00,5077.0,4768.4015,1.9697,10000.0,-6.08%,-607.84,TRAILING_STOP,98.11000061035156%
GOLD,LONG,Materia Prima,2026-02-10 08:00:00,2026-02-17 06:00:00,5063.7998,4930.0,1.9748,10000.0,-2.64%,-264.23,TIEMPO_MAX,95.33000183105469%
OIL,LONG,Materia Prima,2026-02-20 03:00:00,2026-02-26 01:00:00,66.64,65.62,150.06,10000.0,-1.53%,-153.06,TIEMPO_MAX,94.5199966430664%
GOLD,LONG,Materia Prima,2026-02-20 12:00:00,2026-02-26 10:00:00,5044.5,5187.1001,1.9824,10000.0,2.83%,282.68,TIEMPO_MAX,94.30000305175781%
OIL,LONG,Materia Prima,2026-03-03 11:00:00,2026-03-03 19:00:00,77.18,73.1608,129.5672,10000.0,-5.21%,-520.75,TRAILING_STOP,93.4800033569336%
ETH-USD,LONG,Criptomoneda,2026-03-11 01:00:00,2026-03-12 02:00:00,2036.5472,2025.3829,4.9103,10000.0,-0.55%,-54.82,TIEMPO_MAX,94.81999969482422%
OIL,LONG,Materia Prima,2026-03-13 17:00:00,2026-03-16 12:00:00,97.98,95.4712,102.0616,10000.0,-2.56%,-256.05,TRAILING_STOP,94.38999938964844%
OIL,LONG,Materia Prima,2026-03-27 18:00:00,2026-03-31 16:00:00,99.17,100.2561,100.8369,10000.0,1.1%,109.51,TRAILING_STOP,95.19000244140625%
GOLD,LONG,Materia Prima,2026-04-01 10:00:00,2026-04-08 08:00:00,4758.7002,4821.7998,2.1014,10000.0,1.33%,132.6,TIEMPO_MAX,95.05000305175781%
OIL,LONG,Materia Prima,2026-04-07 01:00:00,2026-04-07 19:00:00,114.92,110.3605,87.0171,10000.0,-3.97%,-396.76,TRAILING_STOP,95.2699966430664%
OIL,LONG,Materia Prima,2026-04-23 18:00:00,2026-04-29 16:00:00,96.71,107.14,103.4019,10000.0,10.78%,1078.48,TIEMPO_MAX,94.3499984741211%
GOLD,LONG,Materia Prima,2026-05-07 08:00:00,2026-05-13 06:00:00,4741.1001,4709.7998,2.1092,10000.0,-0.66%,-66.02,TIEMPO_MAX,95.31999969482422%
OIL,LONG,Materia Prima,2026-05-13 00:00:00,2026-05-15 20:00:00,101.46,101.02,98.561,10000.0,-0.43%,-43.37,TIEMPO_MAX,93.54000091552734%
